enrichment_targets,source_id,data_type,schema_version,enrichment_target,disease_state_names,occurrence_date,source_name,therapeutic_area_names,asset_names,stakeholder_internal_ids,stakeholder_source_ids,stakeholder_names,msl_internal_ids,msl_source_ids,msl_names,interaction_type,stakeholder_type,country,state,text
text,8f0a9ca0-97f1-4646-98ba-e356843e04dc,insights_interaction,latest,,,2023-11-01,MSL Interactions,Oncology,Vibranium,,WB-EU-02648,Janice Yarrington,,onco-eu-0045,Alessandra Ricci,Ulton,X-Men,Italy,,Moderate improvement in tumor size reduction across patient population
text,72457541-244a-4b75-b738-c2feecfb308a,insights_interaction,latest,,,2023-11-20,MSL Interactions,Oncology,Vibranium,,WB-EU-02381,Constance Simon,,onco-eu-0045,Alessandra Ricci,Phone,Wolverine,Ragnarok,,Elevated CA-19-9 levels decreased significantly in some patients with pancreatic cancer.
text,6e1fc8f2-4bba-43a6-b743-d56890abdadc,insights_interaction,latest,,,2023-11-29,MSL Interactions,Oncology,Vibranium,,WB-EU-02977,Della Martin,,onco-eu-0045,Alessandra Ricci,Ulton,X-Men,Italy,,Correlation observed between high baseline PD-L1 expression and improved response to Vibranium/Wakanda in lung cancer patients.
text,a2409bac-eb75-4ab6-a71d-3afb87c9be51,insights_interaction,latest,,,2024-03-15,MSL Interactions,Oncology,Vibranium,,WB-EU-02648,Janice Yarrington,,onco-eu-0045,Alessandra Ricci,Ulton,X-Men,Italy,,Response to Vibranium/Wakanda appears to be influenced by the tumor microenvironment.
text,76217087-4ef8-4605-87cf-55f69a36a9ca,insights_interaction,latest,,,2024-05-04,MSL Interactions,Oncology,Vibranium,,WB-EU-02368,Ian Rivers,,onco-eu-0045,Alessandra Ricci,Iron Man,X-Men,Ragnarok,,"Requires specialized infusion protocol and pre-medication regimen, increasing administrative complexity compared to standard therapies"
text,dbdac71f-f209-463b-8814-2945466d6a6f,insights_interaction,latest,,,2024-09-23,MSL Interactions,Oncology,Vibranium,,WB-EU-02002,Michael Toone,,onco-eu-0045,Alessandra Ricci,Phone,X-Men,Italy,,No clear correlation was found between age and response to Vibranium/Wakanda.
text,7e6aab58-0251-4138-9fda-e92895f2b6fe,insights_interaction,latest,,,2024-09-29,MSL Interactions,Oncology,Vibranium,,WB-EU-02777,Rodney Mccoy,,onco-eu-0045,Alessandra Ricci,Ulton,Wolverine,Ragnarok,,Patient with metastatic melanoma showed no objective response to Vibranium after 12 weeks of treatment. Disease progression was noted on imaging studies.
text,4e2b596b-abd3-442a-9550-22064e1efc0d,insights_interaction,latest,,,2022-01-14,MSL Interactions,Oncology,Vibranium,,WB-US-03866,Zelda Vant,,onco-us-0009,Amanda Foster,Iron Man,Wolverine,United States,DE,Patients reported improved appetite and energy levels during treatment with Vibranium/Wakanda.
text,0b5291a0-fd31-4f9d-9b2f-dabb3a3c6639,insights_interaction,latest,,,2022-02-17,MSL Interactions,Oncology,Vibranium,,WB-US-03590,Barbara Hayzlett,,onco-us-0009,Amanda Foster,Iron Man,X-Men,United States,PA,Emerging evidence of potential synergistic effects when combined with targeted immunotherapeutic interventions.
text,f44875f0-d5ab-42f4-bbe1-e4d50a262a62,insights_interaction,latest,,,2022-10-30,MSL Interactions,Oncology,Vibranium,,WB-US-03329,Rachelle Palone,,onco-us-0009,Amanda Foster,Ulton,X-Men,United States,MD,"Remarkable complete response rates in triple-negative breast cancer patients, with 27% achieving complete tumor resolution after six treatment cycles."
text,2b32a892-6c13-490d-ab7c-576c6bc06b16,insights_interaction,latest,,,2022-11-13,MSL Interactions,Oncology,Vibranium,,WB-US-03413,Christine Benoit,,onco-us-0009,Amanda Foster,Phone,Deadpool,United States,PA,Streamlined patient monitoring protocol reduces clinical assessment time and improves overall treatment management efficiency.
text,150c795e-5805-4d0d-bcba-8be0f77ebfbf,insights_interaction,latest,,,2022-11-28,MSL Interactions,Oncology,Vibranium,,WB-US-04361,Carroll Field,,onco-us-0009,Amanda Foster,Phone,Wolverine,United States,DE,Promising results in triple-negative breast cancer subtype with 35% response rate
text,a9df7b4a-adae-4392-92b9-8e50e854245b,insights_interaction,latest,,,2024-04-30,MSL Interactions,Oncology,Vibranium,,WB-US-04372,Teddy Molina,,onco-us-0009,Amanda Foster,Iron Man,Clinical Pharmacist,United States,DC,"Partial response observed in a patient with advanced lung cancer after 4 cycles of Vibranium/Wakanda, with a 30% reduction in tumor burden."
text,46256823-cf5a-40ac-a94b-83eccb68ea87,insights_interaction,latest,,,2024-07-03,MSL Interactions,Oncology,Vibranium,,WB-US-04268,Theresa Allen,,onco-us-0009,Amanda Foster,Iron Man,X-Men,United States,MD,"Patient with advanced pancreatic cancer showed a significant reduction in tumor size after 8 weeks of Vibranium/Wakanda combination therapy, exceeding initial expectations."
text,03d47468-40d5-4895-bf91-748f9d3b62c5,insights_interaction,latest,,,2024-08-15,MSL Interactions,Oncology,Vibranium,,WB-US-03228,Joseph Howell,,onco-us-0009,Amanda Foster,Ulton,Deadpool,United States,NJ,Improved patient reported outcomes (PROs) regarding pain and fatigue were noted in several patients after three cycles of treatment.
text,4d1bba3f-569a-437c-be5a-0d5df2596a76,insights_interaction,latest,,,2024-08-17,MSL Interactions,Oncology,Vibranium,,WB-US-04671,Frank Hernandez,,onco-us-0009,Amanda Foster,Phone,X-Men,United States,NJ,No significant long-term immunological complications detected in 24-month follow-up study
text,f94e1fcb-d191-40be-968e-2dd7c54c39aa,insights_interaction,latest,,,2024-09-12,MSL Interactions,Oncology,Vibranium,,WB-US-04750,Matthew Mccormack,,onco-us-0009,Amanda Foster,Phone,X-Men,United States,DC,"Patient with advanced melanoma showed a significant reduction in tumor size after two cycles of Vibranium/Wakanda therapy, confirmed by imaging."
text,ee676398-63a2-484c-b348-9417174e3bcf,insights_interaction,latest,,,2021-01-07,MSL Interactions,Oncology,Vibranium,,WB-EU-03729,Christina Acevedo,,onco-eu-0066,Ana Kovac,Ulton,Avenger,Ireland,,Predictive genomic signature identified that improves treatment response prediction accuracy by 42%
text,84c68415-6a11-45f4-bdb9-898fb9433c78,insights_interaction,latest,,,2021-09-23,MSL Interactions,Oncology,Vibranium,,WB-EU-03347,Robert Shipley,,onco-eu-0066,Ana Kovac,Iron Man,X-Men,France,,Correlation observed between high baseline tumor mutational burden and response to Vibranium/Wakanda.
text,029d69f8-0619-49bb-8a8d-014ff351e108,insights_interaction,latest,,,2021-12-07,MSL Interactions,Oncology,Vibranium,,WB-EU-03535,Tracy Boyd,,onco-eu-0066,Ana Kovac,Iron Man,X-Men,Ireland,,Improved patient-reported quality of life scores observed in patients with pancreatic cancer following Vibranium/Wakanda treatment.
text,ce0cb7c2-83cf-4d20-8ae0-97bf77e7c690,insights_interaction,latest,,,2021-12-11,MSL Interactions,Oncology,Vibranium,,WB-EU-03584,Emma Roy,,onco-eu-0066,Ana Kovac,Phone,X-Men,Ireland,,Observed 42% objective response rate in metastatic solid tumor patients during phase II trial
text,e66b5fa6-50f5-4ac4-b101-e03f30cb07e3,insights_interaction,latest,,,2021-12-18,MSL Interactions,Oncology,Vibranium,,WB-EU-03762,Dorothy Turner,,onco-eu-0066,Ana Kovac,Ulton,Avenger,Ireland,,Streamlined patient monitoring protocol reduces clinical assessment time and improves overall treatment management efficiency.
text,20881df4-924e-4ccf-931e-785b60840936,insights_interaction,latest,,,2023-01-20,MSL Interactions,Oncology,Vibranium,,WB-EU-03174,Bruce Currin,,onco-eu-0066,Ana Kovac,Iron Man,Avenger,France,,Significant tumor shrinkage observed in several patients with head and neck cancer.
text,d277fa22-e975-4fa0-b6c3-932bc90d563b,insights_interaction,latest,,,2023-01-25,MSL Interactions,Oncology,Vibranium,,WB-EU-03661,Cassandra Mcdonald,,onco-eu-0066,Ana Kovac,Ulton,Avenger,United Kingdom,,Patients reported improved appetite and reduced pain levels following Vibranium/Wakanda therapy.
text,3c44d892-d299-4ce1-9b49-571adb33150d,insights_interaction,latest,,,2023-03-19,MSL Interactions,Oncology,Vibranium,,WB-EU-03743,Jerry Parsons,,onco-eu-0066,Ana Kovac,Ulton,X-Men,United Kingdom,,Observed 47% objective response rate in metastatic solid tumor patients after combination therapy
text,ac4dd567-48ea-4370-95c1-a2a4c538c266,insights_interaction,latest,,,2023-05-11,MSL Interactions,Oncology,Vibranium,,WB-EU-03738,Cedric Davis,,onco-eu-0066,Ana Kovac,Phone,Avenger,Ireland,,No serious adverse events reported in 50% of the patients enrolled in the ongoing phase II trial.
text,c1e67c93-8394-4700-941e-5170e0ecf0fb,insights_interaction,latest,,,2023-05-29,MSL Interactions,Oncology,Vibranium,,WB-EU-03888,Imogene Thomas,,onco-eu-0066,Ana Kovac,Phone,Deadpool,Ireland,,Long-term follow-up data shows stable cardiovascular and renal safety profiles with no significant late-onset adverse events.
text,a6e92912-536e-4b85-8544-97399490bdb4,insights_interaction,latest,,,2023-07-15,MSL Interactions,Oncology,Vibranium,,WB-EU-03405,Donna Lynch,,onco-eu-0066,Ana Kovac,Ulton,Clinical Pharmacist,France,,Mild to moderate grade 2 neutropenia observed in 23% of patients during initial treatment phase
text,a1d98d0e-bf07-4183-b819-59f6187c01b5,insights_interaction,latest,,,2023-07-31,MSL Interactions,Oncology,Vibranium,,WB-EU-03430,Michael Mcclintic,,onco-eu-0066,Ana Kovac,Ulton,Avenger,Ireland,,Mild to moderate immune-related adverse events in 18% of patients
text,f903ab19-93a0-49f6-ad59-8e8c14de05dc,insights_interaction,latest,,,2023-10-05,MSL Interactions,Oncology,Vibranium,,WB-EU-03002,Robert Martin,,onco-eu-0066,Ana Kovac,Iron Man,Deadpool,France,,"Median progression-free survival extended to 8.6 months, surpassing initial clinical trial projections"
text,b5c20856-07d4-4591-bc69-01a17403b476,insights_interaction,latest,,,2023-11-21,MSL Interactions,Oncology,Vibranium,,WB-EU-03738,Cedric Davis,,onco-eu-0066,Ana Kovac,Iron Man,Avenger,Ireland,,Complete remission observed in one patient with a rare form of sarcoma after three cycles of treatment.
text,f6893aa0-84dc-4689-952c-4a669a091985,insights_interaction,latest,,,2024-01-22,MSL Interactions,Oncology,Vibranium,,WB-EU-03683,Ian Phillips,,onco-eu-0066,Ana Kovac,Phone,Wolverine,France,,Outpatient administration protocol demonstrates high patient compliance and reduced healthcare resource utilization compared to traditional chemotherapy regimens.
text,9fe7207e-eb4f-4638-95ba-93a4dd0db381,insights_interaction,latest,,,2024-02-13,MSL Interactions,Oncology,Vibranium,,WB-EU-03905,James Sperdute,,onco-eu-0066,Ana Kovac,Ulton,Avenger,France,,"Grade 3 hepatotoxicity observed in 14% of patients, requiring dose modification and close liver function monitoring during treatment protocol."
text,58dc6f0d-72c3-49e2-8fd5-597b82b65261,insights_interaction,latest,,,2024-04-05,MSL Interactions,Oncology,Vibranium,,WB-EU-04000,Darlene Baird,,onco-eu-0066,Ana Kovac,Iron Man,X-Men,France,,"Increased PD-L1 expression detected in tumor biopsies after two cycles of Vibranium/Wakanda, suggesting potential synergistic effect."
text,2925c78c-8e08-4da9-aa19-2ec5eae23a69,insights_interaction,latest,,,2024-06-06,MSL Interactions,Oncology,Vibranium,,WB-EU-03738,Cedric Davis,,onco-eu-0066,Ana Kovac,Iron Man,Avenger,Ireland,,Minimal long-term toxicity observed in extended follow-up studies
text,9c0ed010-0f14-437c-b3cd-8251a97ba107,insights_interaction,latest,,,2024-09-06,MSL Interactions,Oncology,Vibranium,,WB-EU-03661,Cassandra Mcdonald,,onco-eu-0066,Ana Kovac,Ulton,Avenger,United Kingdom,,Patients reported 68% improvement in pain management and functional status during combination therapy
text,c7889a32-722b-4403-b1f3-88927d38b432,insights_interaction,latest,,,2024-10-03,MSL Interactions,Oncology,Vibranium,,WB-EU-03431,Timothy Kepley,,onco-eu-0066,Ana Kovac,Iron Man,Clinical Pharmacist,Ireland,,No significant changes in patient-reported quality of life measures during the first month of therapy.
text,8ebe4f8f-d9f3-4a66-8d9a-a9a68849a6a9,insights_interaction,latest,,,2024-10-29,MSL Interactions,Oncology,Vibranium,,WB-EU-03535,Tracy Boyd,,onco-eu-0066,Ana Kovac,Phone,X-Men,Ireland,,Progression-free survival varied significantly based on the patient's prior treatment history and overall health status.
text,ef55eda5-ef84-4a1a-850a-092653becfb0,insights_interaction,latest,,,2021-01-16,MSL Interactions,Oncology,Vibranium,,WB-EU-03275,Kevin Cline,,onco-eu-0073,Andrei Petrov,Ulton,Deadpool,United Kingdom,,Cost-effectiveness analysis demonstrates potential 35% reduction in overall treatment expenditure compared to current standard therapies.
text,ab6f1096-58b4-47f2-9862-671cf3f6b558,insights_interaction,latest,,,2021-02-08,MSL Interactions,Oncology,Vibranium,,WB-EU-03809,Lionel Kaylor,,onco-eu-0073,Andrei Petrov,Iron Man,X-Men,Ireland,,"Increased expression of PD-L1 observed in tumor biopsies post-Vibranium/Wakanda administration, suggesting potential synergistic effects with immunotherapy in subsequent treatment regimens."
text,947508eb-8cca-47d9-a47b-1c5eb9a8c7f3,insights_interaction,latest,,,2021-04-07,MSL Interactions,Oncology,Vibranium,,WB-EU-03636,Jack Kiser,,onco-eu-0073,Andrei Petrov,Iron Man,X-Men,France,,Partial response observed in a patient with previously treatment-resistant ovarian cancer.
text,4fce5c0f-3be1-4f55-b063-f00ed1227bdf,insights_interaction,latest,,,2021-05-01,MSL Interactions,Oncology,Vibranium,,WB-EU-03737,Brett Rexrode,,onco-eu-0073,Andrei Petrov,Phone,Clinical Pharmacist,France,,"Simplified administration protocol reduces infusion time by 40%, improving patient convenience and clinic workflow efficiency."
text,6330e34a-f284-48a8-9741-d94c2d1823a3,insights_interaction,latest,,,2021-05-14,MSL Interactions,Oncology,Vibranium,,WB-EU-03364,Kelly Provencher,,onco-eu-0073,Andrei Petrov,Ulton,Avenger,United Kingdom,,Advanced molecular characterization reveals promising predictive biomarker panel for precision treatment selection.
text,7240e737-aa95-4979-93af-df2d157a47a0,insights_interaction,latest,,,2021-11-06,MSL Interactions,Oncology,Vibranium,,WB-EU-03231,Lora Sears,,onco-eu-0073,Andrei Petrov,Iron Man,Deadpool,United Kingdom,,"Patients reported significantly reduced pain scores and improved performance status compared to standard chemotherapy, indicating enhanced symptomatic management."
text,164f4efc-3fe6-4414-af7b-e667df5829a9,insights_interaction,latest,,,2022-01-27,MSL Interactions,Oncology,Vibranium,,WB-EU-03918,Melanie Wang,,onco-eu-0073,Andrei Petrov,Phone,Deadpool,Ireland,,"Improved patient-reported quality of life scores (using EORTC QLQ-C30) observed in a subset of patients with recurrent glioblastoma receiving Vibranium/Wakanda.  Specifically, improvements noted in fatigue and pain scores."
text,2452ee73-2d8f-4804-88bc-d9bc5aaac62c,insights_interaction,latest,,,2022-03-06,MSL Interactions,Oncology,Vibranium,,WB-EU-03215,Cynthia Reed,,onco-eu-0073,Andrei Petrov,Ulton,Avenger,France,,Correlation observed between high baseline PD-L1 expression and improved response to Vibranium/Wakanda in lung cancer patients.
text,1499ee66-1b47-42a1-924c-0a1f029bca72,insights_interaction,latest,,,2022-03-24,MSL Interactions,Oncology,Vibranium,,WB-EU-03415,Henry Higman,,onco-eu-0073,Andrei Petrov,Ulton,Avenger,Ireland,,"Remarkable complete response rates in triple-negative breast cancer patients, with 35% achieving total tumor resolution after six treatment cycles."
text,8f0ab3a5-f2aa-42c1-acdc-67e9af3c9bb4,insights_interaction,latest,,,2022-06-10,MSL Interactions,Oncology,Vibranium,,WB-EU-03314,Martin Merida,,onco-eu-0073,Andrei Petrov,Ulton,Deadpool,France,,Patient-reported outcome measurements indicate significant improvement in functional status and reduced pain symptoms compared to standard treatment protocols.
text,922f3b95-033a-4ec5-9c49-304947a0bda6,insights_interaction,latest,,,2022-06-12,MSL Interactions,Oncology,Vibranium,,WB-EU-03719,Willie Smith,,onco-eu-0073,Andrei Petrov,Iron Man,X-Men,Ireland,,Partial response observed in a patient with previously treatment-resistant ovarian cancer.
text,dfa4860a-4982-40f8-b3aa-012391e660c4,insights_interaction,latest,,,2022-08-31,MSL Interactions,Oncology,Vibranium,,WB-EU-03184,Raymond Porter,,onco-eu-0073,Andrei Petrov,Ulton,X-Men,Ireland,,Advanced molecular characterization reveals promising predictive biomarker panel for precision treatment selection.
text,4682abec-781c-47a3-81ab-2c82b033a3fe,insights_interaction,latest,,,2022-09-14,MSL Interactions,Oncology,Vibranium,,WB-EU-03185,Brenda Gause,,onco-eu-0073,Andrei Petrov,Ulton,Avenger,United Kingdom,,Elevated CA-19-9 levels decreased significantly in some patients with pancreatic cancer.
text,d65582dd-ab5f-4198-8917-766c158b783b,insights_interaction,latest,,,2022-10-14,MSL Interactions,Oncology,Vibranium,,WB-EU-03490,April Lucas,,onco-eu-0073,Andrei Petrov,Iron Man,Avenger,France,,Sustained response durability demonstrated in lung cancer patients with historically challenging genetic profiles.
text,f21fdb31-0c1c-4966-aa20-2b0dff6f9ee6,insights_interaction,latest,,,2023-07-26,MSL Interactions,Oncology,Vibranium,,WB-EU-03709,Margaret Jones,,onco-eu-0073,Andrei Petrov,Ulton,X-Men,France,,"Response rates vary by cancer subtype, with lung adenocarcinoma showing most consistent treatment response"
text,5b9899e5-ed73-4841-bb29-6e2326a4537e,insights_interaction,latest,,,2023-11-23,MSL Interactions,Oncology,Vibranium,,WB-EU-03615,Russell Clark,,onco-eu-0073,Andrei Petrov,Phone,Avenger,France,,High cost of therapy may present a significant barrier to broader accessibility for many patients.
text,b8fd3288-ff12-4c51-943e-331dbfa9f639,insights_interaction,latest,,,2024-01-26,MSL Interactions,Oncology,Vibranium,,WB-EU-03187,Samantha Tucker,,onco-eu-0073,Andrei Petrov,Iron Man,X-Men,Ireland,,Moderate fatigue reported by 62% of patients during treatment cycle
text,e2827f61-f774-4a51-af24-598914869383,insights_interaction,latest,,,2024-03-01,MSL Interactions,Oncology,Vibranium,,WB-EU-03719,Willie Smith,,onco-eu-0073,Andrei Petrov,Phone,X-Men,Ireland,,Significant reduction in treatment-related fatigue and improved patient mobility
text,73c7437f-04b2-423b-8e66-a55eba6f6722,insights_interaction,latest,,,2024-03-21,MSL Interactions,Oncology,Vibranium,,WB-EU-03415,Henry Higman,,onco-eu-0073,Andrei Petrov,Iron Man,Avenger,Ireland,,Some patients reported decreased appetite and weight loss during treatment.
text,003debf4-ad60-4f18-8f0b-56331e9bcd3d,insights_interaction,latest,,,2024-07-25,MSL Interactions,Oncology,Vibranium,,WB-EU-03918,Melanie Wang,,onco-eu-0073,Andrei Petrov,Phone,Deadpool,Ireland,,"Significant tumor shrinkage observed in pancreatic cancer patients with limited conventional treatment options, offering promising alternative approach."
text,3f22babf-e842-4e54-8dda-9864fe17d0d2,insights_interaction,latest,,,2024-07-29,MSL Interactions,Oncology,Vibranium,,WB-EU-03375,Ellen Alexander,,onco-eu-0073,Andrei Petrov,Ulton,Avenger,United Kingdom,,No significant changes in quality of life reported in one patient with stable disease after 2 cycles.
text,55bd0594-feaf-4bae-9069-bcd71e4f4ba6,insights_interaction,latest,,,2021-04-05,MSL Interactions,Oncology,Vibranium,,WB-US-07026,Jose Smith,,onco-us-0025,Angela Davis,Iron Man,Wolverine,United States,WI,"Increased expression of interferon-gamma and other pro-inflammatory cytokines detected in tumor biopsies from patients responding to Vibranium/Wakanda therapy, suggesting a robust immune response."
text,52810bd0-1970-40c4-a36f-53cfa713fb0b,insights_interaction,latest,,,2021-05-21,MSL Interactions,Oncology,Vibranium,,WB-US-08171,Kenneth Cowdery,,onco-us-0025,Angela Davis,Iron Man,X-Men,United States,MO,Patients reported improved pain management and reduced fatigue compared to standard chemotherapy protocols
text,83844fcb-c48c-43e9-ab14-aab2ef27b543,insights_interaction,latest,,,2021-05-22,MSL Interactions,Oncology,Vibranium,,WB-US-06766,Mary Beil,,onco-us-0025,Angela Davis,Iron Man,Deadpool,United States,IL,Predictive genomic signature identified that improves treatment response prediction accuracy by 42%
text,06d81047-8bd6-4bb3-9403-0aceb225026a,insights_interaction,latest,,,2021-07-09,MSL Interactions,Oncology,Vibranium,,WB-US-07890,Gail Moss,,onco-us-0025,Angela Davis,Iron Man,X-Men,United States,MN,Improved patient reported quality of life scores (using EORTC QLQ-C30) observed in several patients following the initiation of Vibranium/Wakanda therapy.
text,721aa665-fe2c-4926-a4ed-afa4cf86732c,insights_interaction,latest,,,2021-10-28,MSL Interactions,Oncology,Vibranium,,WB-US-07376,Winford Spires,,onco-us-0025,Angela Davis,Phone,Avenger,United States,WI,Complete response achieved in 12% of heavily pre-treated patients
text,236df8ab-afbf-43a0-92f0-25123e009ae2,insights_interaction,latest,,,2021-12-09,MSL Interactions,Oncology,Vibranium,,WB-US-06954,Kevin Hickman,,onco-us-0025,Angela Davis,Ulton,X-Men,United States,IN,"Simplified administration protocol reduces infusion time by 40%, improving patient convenience and clinic workflow efficiency."
text,f17b8ab8-139a-4824-8ad6-e3ab9e04f1fe,insights_interaction,latest,,,2021-12-24,MSL Interactions,Oncology,Vibranium,,WB-US-07457,Robert Bryant,,onco-us-0025,Angela Davis,Phone,X-Men,United States,IL,"Patients with advanced metastatic lung cancer showed a 42% objective response rate after 12 weeks of Vibranium/Wakanda, with median progression-free survival extending to 7.3 months."
text,fbc427aa-1ba7-4ffd-afe5-7092eca571f7,insights_interaction,latest,,,2022-01-07,MSL Interactions,Oncology,Vibranium,,WB-US-07689,Maria Andrade,,onco-us-0025,Angela Davis,Phone,Avenger,United States,IA,Extended progression-free survival of 14.6 months in advanced non-small cell lung cancer patients
text,49179b1a-ee61-4232-b3a0-c8f98bff5f30,insights_interaction,latest,,,2022-04-21,MSL Interactions,Oncology,Vibranium,,WB-US-06936,Lillie Vanduser,,onco-us-0025,Angela Davis,Iron Man,Avenger,United States,WI,Strong correlation detected between BRCA1 mutation status and enhanced Vibranium therapeutic response
text,92be8e58-3a4f-45fb-9a92-156b9b6f1a36,insights_interaction,latest,,,2022-04-22,MSL Interactions,Oncology,Vibranium,,WB-US-08052,Ruth Hibbard,,onco-us-0025,Angela Davis,Iron Man,X-Men,United States,MN,Sustained response durability demonstrated in lung cancer patients with historically challenging genetic profiles.
text,de42d9f0-06c8-42b3-8eca-e908f1c6fe82,insights_interaction,latest,,,2022-04-25,MSL Interactions,Oncology,Vibranium,,WB-US-07872,Becky Mcdaniel,,onco-us-0025,Angela Davis,Phone,Avenger,United States,OH,Simplified outpatient administration protocol reduces treatment complexity
text,2d07d1ed-de29-4596-a367-45c86269bb61,insights_interaction,latest,,,2022-09-07,MSL Interactions,Oncology,Vibranium,,WB-US-07727,Peggy Lynch,,onco-us-0025,Angela Davis,Iron Man,Deadpool,United States,IA,Improved sleep quality reported by several patients on the therapy.
text,6dfc05df-70ca-48c3-89fd-5e9001cfe861,insights_interaction,latest,,,2022-10-18,MSL Interactions,Oncology,Vibranium,,WB-US-08115,Guy Keller,,onco-us-0025,Angela Davis,Phone,Avenger,United States,MO,Elevated CA-19-9 levels decreased significantly in some patients with pancreatic cancer.
text,c6105fe8-25de-44fe-b5d9-027acf70f22e,insights_interaction,latest,,,2022-12-13,MSL Interactions,Oncology,Vibranium,,WB-US-06797,Barbara Capps,,onco-us-0025,Angela Davis,Phone,Avenger,United States,IA,Preliminary data suggests correlation between T-cell infiltration and response to therapy.
